Dron#,Best Postion Global,Best Error Global,Iterations,Iteration,Size,Total Percentage Explore,Individual Error,Individual Position
1,"[11, 5]",3219.760631042105,100,100,50,9,3810.760631042105,"[1, 8]"
2,"[11, 5]",3219.760631042105,100,100,50,9,3891.760631042105,"[7, 1]"
3,"[11, 5]",3219.760631042105,100,100,50,9,4146.760631042105,"[4, 1]"
4,"[11, 5]",3219.760631042105,100,100,50,9,4419.760631042105,"[1, 1]"
5,"[11, 5]",3219.760631042105,100,100,50,9,3707.760631042105,"[4, 7]"
6,"[11, 5]",3219.760631042105,100,100,50,9,3219.760631042105,"[12, 5]"
7,"[11, 5]",3219.760631042105,100,100,50,9,4419.760631042105,"[1, 1]"
8,"[11, 5]",3219.760631042105,100,100,50,9,4419.760631042105,"[1, 1]"
9,"[11, 5]",3219.760631042105,100,100,50,9,3875.760631042105,"[3, 5]"
10,"[11, 5]",3219.760631042105,100,100,50,9,3810.760631042105,"[1, 8]"
