Dron#,Best Postion Global,Best Error Global,Iterations,Iteration,Size,Total Percentage Explore,Individual Error,Individual Position,Elapsed Time(s)
1,"[28, 36]",545.7606310421049,1000,1000,50,41,1986.760631042105,"[17, 16]",69
2,"[28, 36]",545.7606310421049,1000,1000,50,41,2046.760631042105,"[21, 11]",69
3,"[28, 36]",545.7606310421049,1000,1000,50,41,3051.760631042105,"[19, 1]",69
4,"[28, 36]",545.7606310421049,1000,1000,50,41,2249.760631042105,"[27, 5]",69
5,"[28, 36]",545.7606310421049,1000,1000,50,41,3294.760631042105,"[5, 10]",69
6,"[28, 36]",545.7606310421049,1000,1000,50,41,3707.760631042105,"[7, 3]",69
7,"[28, 36]",545.7606310421049,1000,1000,50,41,2789.760631042105,"[16, 6]",69
8,"[28, 36]",545.7606310421049,1000,1000,50,41,713.7606310421049,"[22, 42]",69
9,"[28, 36]",545.7606310421049,1000,1000,50,41,2786.760631042105,"[1, 24]",69
10,"[28, 36]",545.7606310421049,1000,1000,50,41,1083.760631042105,"[17, 37]",69
11,"[28, 36]",545.7606310421049,1000,1000,50,41,3366.760631042105,"[1, 14]",69
12,"[28, 36]",545.7606310421049,1000,1000,50,41,1666.760631042105,"[37, 9]",69
13,"[28, 36]",545.7606310421049,1000,1000,50,41,2373.760631042105,"[32, 2]",69
14,"[28, 36]",545.7606310421049,1000,1000,50,41,2690.760631042105,"[15, 8]",69
15,"[28, 36]",545.7606310421049,1000,1000,50,41,2453.760631042105,"[14, 12]",69
16,"[28, 36]",545.7606310421049,1000,1000,50,41,2174.760631042105,"[21, 10]",69
17,"[28, 36]",545.7606310421049,1000,1000,50,41,4326.760631042105,"[2, 1]",69
18,"[28, 36]",545.7606310421049,1000,1000,50,41,982.7606310421049,"[38, 18]",69
19,"[28, 36]",545.7606310421049,1000,1000,50,41,1091.760631042105,"[29, 21]",69
20,"[28, 36]",545.7606310421049,1000,1000,50,41,2726.760631042105,"[17, 6]",69
